id,unique_key,name,sku,category,brand,unit,sale price,price,stock
46687,7FBE635F-756B-4343-B734-EAF324032610,Havit Kb895L Multi-Function Backlit wired USB Keyboard,P046686,Keyboard,Havit,pice,1290,1450,0
46764,D435E4DF-5997-4DB8-AE00-2EBE3BB618FB,Havit KB926L RGB Backlit 104 Keys Mechanical Gaming Keyboard  1 Year Warranty,P046763,Keyboard,Havit,pice,2500,2800,0
46169,8ECD2CF5-3088-4119-89C0-5FA1C14BE61B,Havit laptop power cable,P046169,Cable,Havit,pice,170,250,6
46613,DD7F6120-F450-492F-A14F-518EFC8EDC00,Havit Mouse Pad MP-846,P046612,Mouse Pad,Havit,pice,100,120,2
45828,294A1790-2873-4335-8537-82EAB55DC1B2,Havit MP-837 Mousepad,P45828,Mouse Pad,Havit,pice,100,150,5
45829,9D1CF7CE-6F17-459B-935E-FC00AD316BBA,Havit MP-838 Mousepad,P45829,Mouse Pad,Havit,pice,100,150,5
45830,A650D028-1A34-42ED-BF39-6B625B2F80EF,Havit MP-839 Mousepad,P45830,Mouse Pad,Havit,pice,100,150,5
45831,96E0FAA1-0BAC-40B6-8DFB-3DCD6DD69EBC,Havit MP-846 Mousepad,P45831,Mouse Pad,Havit,pice,100,150,5
45827,ABAF6D5F-CCFC-4213-BEAD-FC315FEB57C8,Havit MP-860  Gaming Mousepad,P45827,Mouse Pad,Havit,pice,390,490,5
46285,AE2626FD-64CA-46BF-8610-E1CF8769090A,Havit MS753 USB optical Mouse,P046284,Mouse,Havit,pice,190,220,0
45916,F383D77D-D416-420C-AF1C-5888ADD5D1E3,Havit PJ207 110 Lumens HD 720p Wi-Fi Screen Mirroring Portable Projector,P45916,Projector,Havit,pice,9700,10700,2
46209,1F673774-FC57-439B-B154-066C242BF523,Havit SF 149BT Portable blue tooth BAR Speaker Warranty 6 months,P046208,Bluetooth Speaker,Havit,pice,2250,2600,0
45939,19CFD37C-8548-4107-B130-7317A761B07A,Havit SF112BT Multi function 2:1 USB Speaker 6 Month Warranty ,P45939,Bluetooth Speaker,Havit,pice,1300,1500,3
45940,4CDBC6DC-966C-485B-BCC0-B0B755582C36,Havit SF140BT Multi function 2:1 USB Speaker 6 Month Warranty ,P45940,Bluetooth Speaker,Havit,pice,1500,1700,2
45943,28089B96-7B71-4A0D-A09E-17A1A5861317,Havit SF153BT  Speaker 6 Month Warranty,P45943,Bluetooth Speaker,Havit,pice,2000,2200,1
45942,5139E828-C90B-4227-935E-E8B298D9143A,Havit SF154BT Speaker 6 Month Warranty,P45942,Bluetooth Speaker,Havit,pice,1900,2100,1
45950,0F42CBA3-A738-4610-A012-DA34A8C21955,Havit SF156 Speaker 6 Month Warranty,P45950,Speaker,Havit,pice,1800,2000,1
45938,0936ED15-FC80-4570-BEA4-90A95254EC78,Havit SK473 2.0 usb Speaker 6 Month Warranty ,P45938,Speaker,Havit,pice,415,550,3
45936,532A44F5-E697-4D78-98CB-8E557EE31ECF,Havit SK486 2.0 usb Speaker 6 Month Warranty ,P45936,Speaker,Havit,pice,415,500,1
45952,19E4B4D8-FDFB-4D1E-82AD-66DCB883260A,Havit SK578BT Speaker 6 Month Warranty,P45952,Bluetooth Speaker,Havit,pice,1050,1250,1
45948,5698CF37-FFA5-47A0-8717-9CED9AA42BCC,Havit SK708BT Speaker 6 Month Warranty,P45948,Bluetooth Speaker,Havit,pice,650,850,1
45946,C492A658-9383-460B-B9E3-662372AE06EC,Havit SK755BT Speaker 6 Month Warranty,P45946,Bluetooth Speaker,Havit,pice,1250,1450,1
45947,F51B2EAF-FB21-4CC3-9AAF-9370F988B031,Havit SK763BT Speaker 6 Month Warranty,P45947,Bluetooth Speaker,Havit,pice,650,850,2
46337,95388D5D-09B5-4579-9FD2-28F05C143116,Havit SK818BT mini Portable Karaoke Bluetooth Microphone Wireless RGB Speaker  1 Year Warranty,P046336,Bluetooth Speaker,Havit,pice,1690,1900,0
45937,9957C925-5C4E-495D-98DD-651527CC8BFD,Havit SK819BT Speaker 6 Month Warranty ,P45937,Bluetooth Speaker,Havit,pice,1550,1750,5
45941,DB2730A9-C63C-4533-9AFB-0142BE8E6EBA,Havit SK841BT  Speaker 6 Month Warranty,P45941,Bluetooth Speaker,Havit,pice,1800,2000,1
45944,B7AF365E-EC74-47AE-9FB7-9D3DC82D23D5,Havit SQ111BT Speaker 6 Month Warranty,P45944,Bluetooth Speaker,Havit,pice,1700,1900,1
45949,455900E9-D248-4C04-BC5D-4AAD67577697,Havit SQ116BT out door speaker with microphone 6 Month Warranty,P45949,Bluetooth Speaker,Havit,pice,3600,4000,1
46039,13DBC2E0-709D-47A6-9B3D-BB85B418F18A,Havit VGA Cable 1.5M,P46039,VGA Cable,Havit,pice,170,270,10
46113,09306597-6BD3-485E-B881-DB1F6DFF4F21,Havit Wireless outdoor portable speaker,P046113,Bluetooth Speaker,Havit,pice,1200,1400,1
46051,B22DBC7B-BE32-446C-B0B4-BA816043416A,Haylou GT1 pro,P046051,Ear buds,Haylou,pice,1450,1650,2
46145,B8C589C5-1386-4DB5-9870-E1E5F50795D5,"HDMI cable for Plasma, LCD, Audio Equipment  Flat 5 m",P046145,HDMI Cable,Non Brand,pice,250,300,5
46334,D17FB908-C1DF-4164-9137-5278224878E9,Hi-Fi Stereo 3.5 MM  Braided 4 Pole Audio Cable  2 meter,P046333,Cable,Non Brand,pice,270,350,3
46127,B40179F5-2302-4C21-B90C-68FE09A92F16,High Quality Head phone,P046127,Ear phone,Non Brand,pice,1055,1255,2
46609,9BEEE7FD-522B-42D8-9BBA-D0A9638AE6D4,"Hiksemi Future 512 Gb PCLE Gen 4x4, NVME SSD, 80.15mmx22.15mmx2.38mm upto 7050 MBps Read speed , 4200 MBps Write speed  5 years warranty  S/L#30174526012",P046608,SSD,HIKSEMI,pice,5800,6500,0
46747,673CEA58-2E76-4220-AC1E-F4F6ABD853F3,"Hiksemi HS-SSD WAVE(S) 256G 256GB SATA SSD/3D NAND/SATA lll 6 GB/S SATA ll 3 GB/S up to 530 MB/S Read Speed , 400MB/S Write Speed  3 Years Warranty",P046746,SSD,HIKSEMI,pice,3300,3600,0
46384,C915989D-6C9C-4193-9E3C-61A7EF4D3FCB,"Hikvision  DS-1LN6U-ZCO Cat 6 Network Cable,U/UTP CAT 6-4P-PVC-CM,Color: Orange  305 M",P046383,Cable,HIK VISION,pice,10500,11500,0
46000,3AF6D04F-4743-437D-9CB5-20D5BF4B81B4,Hikvision -1LN6U-WCCA UTP caregory CAT-6Cable Color: White,P045999,Cable,HIK VISION,pice,23,28,305
46001,6C026E14-2B78-4F91-ACB1-E98864F94A6A,Hikvision -1LN6UU/CCA UTP caregory CAT-6Cable Color: Grey,P046000,Cable,HIK VISION,pice,2900,3400,1
45637,0F4EA97F-45CD-4385-954F-694CBCFE9FB2,Hikvision 16GB DDR4 3200MHz UDIMM Desktop RAM,P45637,RAM,HIK VISION,pice,3300,4200,2
46199,B0447CB3-DE37-437A-8759-9C396A903179,Hikvision 7100 Series  2 MP Turbo HD DVR DS-7108HGHI-K1 warranty 1 year,P046198,DVR,HIK VISION,pice,3000,3500,0
45636,19A7B3D6-6F98-4AEA-BC93-8AEBDCBCED65,Hikvision 8GB 3200MHz DDR4 Laptop RAM,P45636,RAM,HIK VISION,pice,1800,2000,2
46382,5C5A2A32-6A2F-443D-A57C-07ADC7F8C3CF,Hikvision CC Camera Bullet DS-2CE10KFOT-FS 3K With Audio Video Full Color  5MP Camera 1 Year Warranty,P046381,Camera,HIK VISION,pice,3200,3400,0
46383,0BB80810-ACBF-4D1D-8BFA-17C925DB387E,Hikvision CC Camera Doom DS-2CE70KFOT-MFS 3K With Audio Video Full Color  5 mp Camera1 Year Warranty,P046382,Camera,HIK VISION,pice,3200,3400,0
46017,E540A174-B67A-4FE1-9D1A-BC533FA5848F,Hikvision DS-1H18S/E HD Video Balun,P046016,Balun,HIK VISION,pice,220,300,10
46518,84621BBC-CCF9-445B-9BC4-A283C8E2AE22,"Hikvision DS-2CE10DFOT-FS 2 MP Full time Color Bullet Audio Camera Built in MIC,20 Meter IR distance,Lens 3.6MM",P046517,Camera,HIK VISION,pice,1800,2150,0
45795,6DAB696E-CC4B-4419-A910-E13E086C95AB,Hikvision DS-2CE16D0T-ITF 2MP Bullet CCTV Camera,P45795,Camera,HIK VISION,pice,1850,2050,9
45796,79C1E7A0-54B3-43E5-AE2C-03FD11C0D272,HIKVISION DS-2CE16D0T-ITPFS,P45796,Camera,HIK VISION,pice,2050,2250,2
46519,3E7E1C95-5462-4C5A-B1D5-83897871A93A,"Hikvision DS-2CE70DFOT-MFS 2 MP Full time Color Dome Audio Camera Built in MIC,20 Meter IR distance,Lens 2.8MM",P046518,Camera,HIK VISION,pice,1800,2100,0
45475,2D7A6679-2F33-4CCF-A6FA-E7F52077B491,"Hikvision DS-D5022F2-1P1 21.5"" 100Hz 1ms FHD IPS Monitor    3 years  warranty  S/L#30122007201",P00004,Monitor,HIK VISION,pice,8500,8700,2
46705,8CBC29FF-A36B-4186-8DA5-669FC780BA1A,"Hikvision DS-D5022f2-CBD Monitor 21.5 inch, FHD 1920X1080, IPS. E-LED, VGA & HDMI, 100HZ, 1 MS,Black 3 Years Warranty",P046704,Monitor,HIK VISION,pice,9600,10200,0
45509,696A0586-AECC-457D-8CD3-644ACC7A358F,HIKVISION E1000 256GB PCIe Gen3X4 NVMe SSD 3 years warranty ,P000037,SSD,HIK VISION,pice,2100,2400,1
45797,D2456092-FFBD-4169-8358-3F604B054448,Hikvision iDS-7116HQHI-M1/S 16 Channel 7100 SERIES TURBO HD DVR,P45797,Camera,HIK VISION,pice,6800,7500,1
46325,92A12FB7-ECF4-427F-BC14-63EB5D96B8A5,Hp  Advantage Ink Cartridge 680  Color,P046324,Color,HP,pice,1090,1250,0
45709,E6B3FE97-2E69-4DB1-BDD4-BE1AB8741D97,HP 100 USB Keyboard,P45709,Keyboard,HP,pice,550,700,1
46083,96BB2153-7C03-4434-88C1-FCFD89A760C5,"HP 15s-FQ5620TU Core i5 12th Gen 15.6"" FHD Laptop 02 Years warranty",P046083,Laptop,HP,pice,79500,80000,1
46082,9F357E9C-766D-4F78-B68C-0EA4DB59B142,"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop 02 Years warranty",P046082,Laptop,HP,pice,63500,64000,1
45811,5362C3DB-E367-436A-A043-D748F6ECCFC9,HP 24mh 23.8-inch FHD IPS Monitor 03 Years warranty,P45811,Monitor,HP,pice,17000,20000,1
45693,9F075401-89C6-44A7-81E1-5814DB711B88,HP CS700 Wireless keyboard and mouse combo,P45693,Keyboard,Non Brand,pice,550,750,2
45778,CE167654-19F9-40EA-84D7-4F56BC694501,HP Desk Jet Ink Advantage 2775 AIO Printer Black 7.5ppm Color 5.5ppm 180 GHz Wi-Fi 4WS03B  1 Year warranty  S/L#CN2B2DZKRX,P45778,Printer,HP,pice,8000,8500,1
45771,EB30232C-F77D-4F16-801D-7D6D3B1969F7,HP GT52 Original HP Ink Cyan,P45771,Color,HP,pice,850,900,5
45770,8F89D705-BAE7-48AC-844A-90C9C1BFB3B7,HP GT52 Original HP Ink Magenta,P45770,Color,HP,pice,850,900,5
45769,7A567EE4-751D-45A7-A0AA-CB5E43C20CA9,HP GT52 Original HP Ink Yellow,P45769,Color,HP,pice,850,900,5
45772,4C16E71C-D884-416E-A92B-94259B1E73BA,HP GT53 Original HP Ink Black,P45772,Color,HP,pice,850,850,4
45763,11D040B0-B1A3-4AB3-9F4F-E69300348CFD,HP Ink Advantage 680 Black,P45763,Toner,HP,pice,1125,1250,0
45764,03B7E7CF-5342-403A-A580-758167A9DBC2,HP Ink Advantage 682 Black,P45764,Toner,HP,pice,1125,1250,8
45762,4886B3AA-A95C-4AB6-BE18-CA9BC9F16D9A,HP Ink Advantage 682 Tri-Colour,P45762,Toner,HP,pice,1125,1250,6
45773,0BE884E7-AECE-4A77-BB9C-9A7632C09929,HP Ink Tank 319 1 Year warranty,P45773,Printer,HP,pice,17000,17500,1
45710,84D3018A-DE5F-48EB-89FD-8617179150E2,HP K600 Multimedia Keyboard,P45710,Keyboard,Non Brand,pice,260,360,20
46074,22ADB3B5-A5CB-46C8-884D-8FC9CA5EE648,HP Laptop Adapter 18.5V 3.5A,P046074,Adapter,Non Brand,pice,300,450,2
46075,CAFB0F01-303C-4E9A-890A-E75DF15902A0,HP Laptop Adapter 19.5V3.3A Bluepin,P046075,Adapter,Non Brand,pice,370,550,4
46076,49B6E109-A2C4-482D-B333-38ECECDBD011,HP Laptop Adapter 19V 4.74 A big port,P046076,Adapter,Non Brand,pice,350,450,2
45774,832745FC-6684-48C5-8759-795A574D54A1,HP Laser MFP 135w Multifunction Mono Laser Printer 1 Year Warranty  S/L#CNB1Q4QVQV,P45774,Printer,HP,pice,20500,21500,1
46134,FFDEBFD0-AC11-493E-BE51-437C6F38E310,HP M100G Wireless Mouse,P046134,Mouse,Non Brand,pice,200,250,4
45473,A9DA0C5F-7B50-4D54-A565-4125A2FCD516,"HP M22f 21.5"" FHD I PS  borderless  Monitor resolution 1920x1080, Display;IPs.75Hz,5ms, Port; HDMI,VGA  Free Sync,Low blue light,Anti-glare 3 Years Warranty. S/L#3CM5081Z830K6",P00002,Monitor,HP,pice,14500,16000,1
45812,75D2766E-2BF8-478F-A685-6826F7435A45,HP M24fwa 23.8-Inch 75Hz FHD IPS Monitor 03 Year warranty,P45812,Monitor,HP,pice,18300,19500,1
45987,5226F8A1-30FA-4679-A44E-AB20038261D1,HP original keyboard HP100,P045987,Keyboard,HP,pice,550,550,2
46135,891DE10F-FB36-40A0-8DBE-B402A8FF1FD4,Huawei 2.4 Ghz Wireless mouse,P046135,Mouse,Non Brand,pice,380,500,5
45849,913C5960-7564-48D5-B462-180DC9B27983,Huntkey PZC504 Power Strip 3M 3Y,P45849,Power Strip,Huntkey,pice,1600,1800,5
45848,A08A3BC5-6833-402C-925F-6841844CB124,Huntkey SZM401 Power Strip 3M 3Y,P45848,Power Strip,Huntkey,pice,600,700,9
46172,AD77FE76-391F-4674-B575-FCC467D4AFD8,Huntkey SZM604 powe strip            ,P046172,Power Strip,Huntkey,pice,850,1000,1
46192,900191E0-010E-4605-B6DA-E45176FF2C11,Huntkey SZM804 Eight socket Power Strip 3 years warranty,P046191,Power Strip,Huntkey,pice,1500,1700,0
45847,51F487A5-163F-4518-AAA7-AE66E799D326,Huntkey SZN501 Power Strip 3M 3Y,P45847,Power Strip,Huntkey,pice,1250,1350,7
45981,67001C08-E73D-471E-AD59-0D705C6B1F21,ICE Prime Premium ENC TWS Earbuds,P045981,Ear buds,ICE prime,pice,2300,2500,1
46386,CEED425C-000F-44ED-979F-2E6A0ABA10E7,Imou Ranger   2 IP Camera  3 MP,P046385,Camera,Dahua,pice,2100,2200,0
46064,AF6747F3-0EF7-4910-A8E5-F50DCB2E3B88,Intel 10th Gen Comet Lake Core i5 10400 Cache LGA1200 Socket Processor 03 years warranty,P046064,Processor ,Intel,pice,15500,15700,2
46063,F2D8C72B-B9DD-4467-A240-E60BCE133CF5,"Intel 10th Gen Core i3 10105 Processor(6 Cache, up to 4.3 GHz) 03 years warranty",P046063,Processor ,Intel,pice,10500,11500,2
46065,5C7071EE-9AEC-472D-8E1C-3431831320EC,"Intel Core i3-12100 12th Gen Alder Lake Processor 12M Cache, Up to 4.30 Ghz LGA 1700, 03 years warranty S/L#U5HK253601905",P046065,Processor ,Intel,pice,16500,17500,4
46210,DF790680-FD3A-4876-A46A-3778A1575FF3,"Intel Core i5 -12400 12th Gen  Processor (18M Cache ,up to 4.40 Ghz ) LGA 1700 3Years  Limited Warranty. S/L#U56ROP4800005",P046209,Processor ,Intel,pice,22500,24000,0
45979,590DEA99-3F4D-4E0D-8FAE-3718FCA70A54,JBL C330 TWS Bluetooth True Wireless Stereo Earbuds,P045979,Ear buds,JBL,pice,1315,1515,2
45969,B6FA22C1-C0A3-4930-8ED2-C309C595B845,JBL Go 3 Portable Waterproof Bluetooth Speaker,P45969,Bluetooth Speaker,JBL,pice,4050,4300,1
46425,5CDCEBDE-B05C-4E3C-A828-0EFE25EC66FC,Jedel Bluetooth Keyboard & Mouse Combo WS681B,P046424,Keyboard,Jedel/Wesder,pice,900,1100,0
